218, 534, 331, 508, 330
219, 483, 497, 356, 335
220, 119, 508, 534, 500
221, 508, 500, 332, 331
222, 508, 353, 484, 352
223, 508, 118, 483, 332
224, 508, 352, 331, 332
225, 535, 90, 80, 81
226, 525, 534, 477, 308
227, 536, 278, 531, 94
228, 171, 158, 18, 157
229, 104, 530, 320, 536
230, 536, 531, 299, 104
231, 328, 525, 327, 477
232, 486, 198, 13, 181
233, 72, 81, 487, 71
234, 430, 486, 71, 433
235, 433, 481, 240, 220
236, 433, 219, 199, 240
237, 463, 235, 489, 234
238, 537, 538, 99, 539
239, 537, 539, 99, 540
240, 537, 267, 539, 540
241, 527, 63, 193, 464
242, 465, 469, 215, 236
243, 465, 526, 469, 236
244, 506, 238, 237, 217
245, 506, 465, 63, 527
246, 502, 541, 226, 439
247, 435, 502, 225, 439
248, 537, 502, 540, 89
249, 537, 540, 246, 267
250, 502, 470, 245, 540
251, 502, 226, 541, 247
252, 542, 356, 517, 377
253, 542, 517, 355, 485
254, 542, 543, 377, 517
255, 542, 147, 543, 137
256, 542, 485, 544, 137
257, 518, 277, 257, 278
258, 545, 526, 257, 519
259, 536, 280, 482, 301
260, 536, 94, 545, 278
261, 512, 427, 407, 428
262, 545, 526, 259, 258
263, 545, 280, 279, 259
264, 536, 482, 103, 301
265, 479, 545, 93, 83
266, 543, 468, 398, 399
267, 543, 517, 137, 136
268, 543, 517, 379, 378
269, 546, 498, 230, 77
270, 546, 547, 548, 249
271, 546, 88, 547, 87
272, 459, 546, 228, 229
273, 549, 473, 115, 114
274, 506, 239, 480, 238
275, 480, 526, 238, 259
276, 479, 545, 280, 93
277, 464, 216, 465, 215
278, 479, 550, 551, 92
279, 480, 481, 82, 92
280, 480, 526, 259, 83
281, 479, 280, 259, 260
282, 501, 292, 271, 272
283, 448, 145, 449, 155
284, 501, 538, 290, 108
285, 476, 294, 516, 106
286, 476, 293, 516, 294
287, 501, 293, 107, 292
288, 500, 332, 499, 118
289, 508, 500, 119, 118
290, 312, 311, 499, 291
291, 431, 1, 196, 194
292, 500, 538, 290, 289
293, 499, 108, 117, 107
294, 311, 499, 291, 290
295, 522, 525, 110, 120
296, 552, 386, 406, 385
297, 552, 512, 407, 408
298, 552, 553, 142, 387
299, 552, 553, 133, 142
300, 552, 407, 512, 406
301, 554, 100, 540, 90
302, 554, 101, 555, 100
303, 554, 100, 91, 101
304, 451, 556, 505, 151
305, 452, 510, 176, 411
306, 505, 452, 161, 504
307, 451, 510, 493, 151
308, 451, 411, 452, 410
309, 451, 510, 411, 390
310, 452, 22, 176, 510
311, 504, 42, 179, 409
312, 466, 169, 167, 17
313, 507, 370, 350, 371
314, 542, 543, 468, 398
315, 543, 378, 398, 377
316, 466, 168, 32, 31
317, 466, 32, 420, 31
318, 468, 471, 397, 418
319, 542, 468, 471, 397
320, 467, 471, 468, 418
321, 515, 557, 360, 381
322, 515, 557, 125, 360
323, 549, 437, 115, 339
324, 515, 558, 382, 383
325, 515, 558, 381, 382
326, 526, 258, 237, 238
327, 464, 60, 527, 216
328, 480, 526, 83, 73
329, 438, 472, 69, 439
330, 465, 64, 469, 74
331, 545, 526, 519, 84
332, 506, 465, 526, 73
